Date,Description,Amount
01/04/2024,"ZELLE PAYMENT FROM SMITH J",-894.88
01/06/2024,"REFUND AMAZON.COM",-349.94
01/06/2024,"VENMO CASHOUT",-852.68
01/08/2024,"ZOOM.US 888-799-9666",190.82
01/10/2024,"AMAZON.COM*MK3HQ8EB2",342.31
01/12/2024,"TRADER JOE'S #544 QPS",72.92
01/12/2024,"PAYROLL DEPOSIT ACME CORP",-1288.48
01/14/2024,"STARBUCKS STORE 08812",329.33
01/14/2024,"COMCAST CABLE COMM",38.68
01/16/2024,"AT&T *PAYMENT 800-288-2020",261.29
01/16/2024,"APPLE.COM/BILL",443.40
01/16/2024,"HOME DEPOT #0658",287.33
01/16/2024,"SPOTIFY USA",302.73
01/18/2024,"ZOOM.US 888-799-9666",329.06
01/19/2024,"ZOOM.US 888-799-9666",101.56
01/19/2024,"STARBUCKS STORE 08812",362.95
01/20/2024,"REFUND AMAZON.COM",-3073.47
01/20/2024,"COMCAST CABLE COMM",398.51
01/20/2024,"CVS/PHARMACY #02817",336.14
01/21/2024,"PGE WEB ONLINE",404.38
01/22/2024,"NETFLIX.COM",231.00
01/22/2024,"NETFLIX.COM",283.65
01/24/2024,"INTEREST PAYMENT",-2105.82
01/26/2024,"ZOOM.US 888-799-9666",387.84
01/28/2024,"ZOOM.US 888-799-9666",338.77
01/28/2024,"UBER TRIP HELP.UBER.COM",206.09
01/30/2024,"LYFT RIDE SUN 2PM",410.99
02/01/2024,"SPOTIFY USA",71.74
02/03/2024,"LYFT RIDE SUN 2PM",413.61
02/04/2024,"ZELLE PAYMENT FROM SMITH J",-3081.59
02/04/2024,"REFUND AMAZON.COM",-3316.98
02/06/2024,"SHELL OIL 57544228902",440.17
02/06/2024,"INTEREST PAYMENT",-3316.63
02/07/2024,"CHIPOTLE 2645 ONLINE",192.43
02/09/2024,"SPOTIFY USA",321.83
02/11/2024,"HOME DEPOT #0658",405.18
02/11/2024,"SHELL OIL 57544228902",154.46
02/11/2024,"AMAZON.COM*MK3HQ8EB2",35.20
02/11/2024,"PAYROLL DEPOSIT ACME CORP",-3015.74
02/13/2024,"TARGET 00028452",99.16
02/15/2024,"PEETS COFFEE #03178",260.78
02/16/2024,"SPOTIFY USA",45.62
02/17/2024,"HOME DEPOT #0658",389.20
02/19/2024,"WHOLEFDS MKT #10234",30.56
02/19/2024,"SPOTIFY USA",242.95
02/20/2024,"HOME DEPOT #0658",115.04
02/21/2024,"ZOOM.US 888-799-9666",47.22
02/21/2024,"CVS/PHARMACY #02817",77.76
02/22/2024,"COMCAST CABLE COMM",406.44
02/23/2024,"INTEREST PAYMENT",-964.95
02/24/2024,"ZOOM.US 888-799-9666",299.03
02/24/2024,"SPOTIFY USA",436.03
02/24/2024,"STARBUCKS STORE 08812",25.89
02/26/2024,"LYFT RIDE SUN 2PM",73.79
02/26/2024,"SHELL OIL 57544228902",269.18
02/27/2024,"REFUND AMAZON.COM",-899.44
02/29/2024,"REFUND AMAZON.COM",-2000.03
03/01/2024,"DELTA AIR LINES 0067119",110.07
03/01/2024,"APPLE.COM/BILL",207.65
03/01/2024,"PEETS COFFEE #03178",448.26
03/03/2024,"TRADER JOE'S #544 QPS",62.64
03/03/2024,"AT&T *PAYMENT 800-288-2020",130.75
03/05/2024,"CHIPOTLE 2645 ONLINE",442.79
03/05/2024,"ZOOM.US 888-799-9666",137.17
03/05/2024,"WHOLEFDS MKT #10234",334.99
03/06/2024,"SPOTIFY USA",323.91
03/08/2024,"TRADER JOE'S #544 QPS",229.17
03/08/2024,"INTEREST PAYMENT",-2911.25
03/08/2024,"NETFLIX.COM",287.97
03/08/2024,"ZOOM.US 888-799-9666",318.58
03/08/2024,"VENMO CASHOUT",-1932.29
03/10/2024,"PGE WEB ONLINE",60.40
03/11/2024,"STARBUCKS STORE 08812",404.87
03/13/2024,"WHOLEFDS MKT #10234",161.42
03/14/2024,"NETFLIX.COM",416.85
03/14/2024,"UBER TRIP HELP.UBER.COM",397.05
03/14/2024,"DELTA AIR LINES 0067119",352.84
03/16/2024,"CVS/PHARMACY #02817",122.63
03/17/2024,"TARGET 00028452",102.82
03/18/2024,"CVS/PHARMACY #02817",103.04
03/19/2024,"SHELL OIL 57544228902",435.22
03/20/2024,"COMCAST CABLE COMM",306.90
03/21/2024,"WHOLEFDS MKT #10234",395.10
03/21/2024,"TRADER JOE'S #544 QPS",20.58
03/22/2024,"DELTA AIR LINES 0067119",198.35
03/22/2024,"PEETS COFFEE #03178",88.37
03/24/2024,"LYFT RIDE SUN 2PM",416.77
03/26/2024,"SPOTIFY USA",166.12
03/28/2024,"CHIPOTLE 2645 ONLINE",143.66
03/30/2024,"LYFT RIDE SUN 2PM",141.60
03/31/2024,"APPLE.COM/BILL",251.05
04/01/2024,"COMCAST CABLE COMM",305.92
04/03/2024,"COMCAST CABLE COMM",248.15
04/04/2024,"PGE WEB ONLINE",354.34
04/05/2024,"SPOTIFY USA",231.74
04/07/2024,"REFUND AMAZON.COM",-2340.30
04/07/2024,"CVS/PHARMACY #02817",303.90
04/07/2024,"PAYROLL DEPOSIT ACME CORP",-894.71
04/09/2024,"SHELL OIL 57544228902",206.84
04/11/2024,"TARGET 00028452",181.95
