Date,Description,Amount,Running Bal.
01/04/2024,"ZELLE PAYMENT FROM SMITH J",894.88,13394.88
01/06/2024,"REFUND AMAZON.COM",349.94,13744.82
01/06/2024,"VENMO CASHOUT",852.68,14597.50
01/08/2024,"ZOOM.US 888-799-9666",-190.82,14406.68
01/10/2024,"AMAZON.COM*MK3HQ8EB2",-342.31,14064.37
01/12/2024,"TRADER JOE'S #544 QPS",-72.92,13991.45
01/12/2024,"PAYROLL DEPOSIT ACME CORP",1288.48,15279.93
01/14/2024,"STARBUCKS STORE 08812",-329.33,14950.60
01/14/2024,"COMCAST CABLE COMM",-38.68,14911.92
01/16/2024,"AT&T *PAYMENT 800-288-2020",-261.29,14650.63
01/16/2024,"APPLE.COM/BILL",-443.40,14207.23
01/16/2024,"HOME DEPOT #0658",-287.33,13919.90
01/16/2024,"SPOTIFY USA",-302.73,13617.17
01/18/2024,"ZOOM.US 888-799-9666",-329.06,13288.11
01/19/2024,"ZOOM.US 888-799-9666",-101.56,13186.55
01/19/2024,"STARBUCKS STORE 08812",-362.95,12823.60
01/20/2024,"REFUND AMAZON.COM",3073.47,15897.07
01/20/2024,"COMCAST CABLE COMM",-398.51,15498.56
01/20/2024,"CVS/PHARMACY #02817",-336.14,15162.42
01/21/2024,"PGE WEB ONLINE",-404.38,14758.04
01/22/2024,"NETFLIX.COM",-231.00,14527.04
01/22/2024,"NETFLIX.COM",-283.65,14243.39
01/24/2024,"INTEREST PAYMENT",2105.82,16349.21
01/26/2024,"ZOOM.US 888-799-9666",-387.84,15961.37
01/28/2024,"ZOOM.US 888-799-9666",-338.77,15622.60
01/28/2024,"UBER TRIP HELP.UBER.COM",-206.09,15416.51
01/30/2024,"LYFT RIDE SUN 2PM",-410.99,15005.52
02/01/2024,"SPOTIFY USA",-71.74,14933.78
02/03/2024,"LYFT RIDE SUN 2PM",-413.61,14520.17
02/04/2024,"ZELLE PAYMENT FROM SMITH J",3081.59,17601.76
02/04/2024,"REFUND AMAZON.COM",3316.98,20918.74
02/06/2024,"SHELL OIL 57544228902",-440.17,20478.57
02/06/2024,"INTEREST PAYMENT",3316.63,23795.20
02/07/2024,"CHIPOTLE 2645 ONLINE",-192.43,23602.77
02/09/2024,"SPOTIFY USA",-321.83,23280.94
02/11/2024,"HOME DEPOT #0658",-405.18,22875.76
02/11/2024,"SHELL OIL 57544228902",-154.46,22721.30
02/11/2024,"AMAZON.COM*MK3HQ8EB2",-35.20,22686.10
02/11/2024,"PAYROLL DEPOSIT ACME CORP",3015.74,25701.84
