Details,Posting Date,Description,Amount,Type,Balance
CREDIT,01/04/2024,"ZELLE PAYMENT FROM SMITH J",894.88,ACH_CREDIT,13394.88
CREDIT,01/06/2024,"REFUND AMAZON.COM",349.94,ACH_CREDIT,13744.82
CREDIT,01/06/2024,"VENMO CASHOUT",852.68,ACH_CREDIT,14597.50
DEBIT,01/08/2024,"ZOOM.US 888-799-9666",-190.82,ACH_DEBIT,14406.68
DEBIT,01/10/2024,"AMAZON.COM*MK3HQ8EB2",-342.31,ACH_DEBIT,14064.37
DEBIT,01/12/2024,"TRADER JOE'S #544 QPS",-72.92,ACH_DEBIT,13991.45
CREDIT,01/12/2024,"PAYROLL DEPOSIT ACME CORP",1288.48,ACH_CREDIT,15279.93
DEBIT,01/14/2024,"STARBUCKS STORE 08812",-329.33,ACH_DEBIT,14950.60
DEBIT,01/14/2024,"COMCAST CABLE COMM",-38.68,ACH_DEBIT,14911.92
DEBIT,01/16/2024,"AT&T *PAYMENT 800-288-2020",-261.29,ACH_DEBIT,14650.63
DEBIT,01/16/2024,"APPLE.COM/BILL",-443.40,ACH_DEBIT,14207.23
DEBIT,01/16/2024,"HOME DEPOT #0658",-287.33,ACH_DEBIT,13919.90
DEBIT,01/16/2024,"SPOTIFY USA",-302.73,ACH_DEBIT,13617.17
DEBIT,01/18/2024,"ZOOM.US 888-799-9666",-329.06,ACH_DEBIT,13288.11
DEBIT,01/19/2024,"ZOOM.US 888-799-9666",-101.56,ACH_DEBIT,13186.55
DEBIT,01/19/2024,"STARBUCKS STORE 08812",-362.95,ACH_DEBIT,12823.60
CREDIT,01/20/2024,"REFUND AMAZON.COM",3073.47,ACH_CREDIT,15897.07
DEBIT,01/20/2024,"COMCAST CABLE COMM",-398.51,ACH_DEBIT,15498.56
DEBIT,01/20/2024,"CVS/PHARMACY #02817",-336.14,ACH_DEBIT,15162.42
DEBIT,01/21/2024,"PGE WEB ONLINE",-404.38,ACH_DEBIT,14758.04
DEBIT,01/22/2024,"NETFLIX.COM",-231.00,ACH_DEBIT,14527.04
DEBIT,01/22/2024,"NETFLIX.COM",-283.65,ACH_DEBIT,14243.39
CREDIT,01/24/2024,"INTEREST PAYMENT",2105.82,ACH_CREDIT,16349.21
DEBIT,01/26/2024,"ZOOM.US 888-799-9666",-387.84,ACH_DEBIT,15961.37
DEBIT,01/28/2024,"ZOOM.US 888-799-9666",-338.77,ACH_DEBIT,15622.60
DEBIT,01/28/2024,"UBER TRIP HELP.UBER.COM",-206.09,ACH_DEBIT,15416.51
DEBIT,01/30/2024,"LYFT RIDE SUN 2PM",-410.99,ACH_DEBIT,15005.52
DEBIT,02/01/2024,"SPOTIFY USA",-71.74,ACH_DEBIT,14933.78
DEBIT,02/03/2024,"LYFT RIDE SUN 2PM",-413.61,ACH_DEBIT,14520.17
CREDIT,02/04/2024,"ZELLE PAYMENT FROM SMITH J",3081.59,ACH_CREDIT,17601.76
CREDIT,02/04/2024,"REFUND AMAZON.COM",3316.98,ACH_CREDIT,20918.74
DEBIT,02/06/2024,"SHELL OIL 57544228902",-440.17,ACH_DEBIT,20478.57
